Amenity,N de apariciones
restaurant,5836
bench,5300
drinking_water,2912
recycling,2463
pharmacy,2461
bar,2055
parking_entrance,2021
bank,1897
bicycle_parking,1613
cafe,1592
school,1257
pub,1219
fast_food,1064
waste_basket,1043
waste_disposal,1037
parking,911
motorcycle_parking,874
vending_machine,681
kindergarten,663
fountain,655
post_box,606
taxi,533
dentist,523
fuel,476
atm,457
clinic,320
place_of_worship,314
toilets,291
telephone,251
veterinary,246
driving_school,239
bicycle_rental,229
post_office,212
doctors,155
nightclub,152
charging_station,137
social_facility,125
library,119
watering_place,104
parking_space,103
college,101
community_centre,101
theatre,98
ice_cream,90
car_wash,89
language_school,87
police,72
cinema,61
car_rental,56
marketplace,54
shelter,54
arts_centre,46
courthouse,46
music_school,43
water_point,43
shower,43
nursing_home,41
internet_cafe,37
training,36
university,35
gambling,35
casino,34
bureau_de_change,34
childcare,32
clock,31
biergarten,28
hospital,28
social_centre,27
money_transfer,27
food_court,24
compressed_air,22
studio,19
music_venue,17
photo_booth,16
prep_school,15
coworking_space,14
bus_station,11
townhall,11
events_venue,10
brothel,8
bbq,7
vehicle_inspection,7
dojo,7
fire_station,7
public_building,6
parcel_locker,6
vacuum_cleaner,5
animal_shelter,5
reception_desk,5
prison,4
weighbridge,4
waste_transfer_station,4
animal_boarding,4
public_bookcase,4
sanitary_dump_station,4
first_aid,3
quarry,3
stripclub,3
spa,3
post_depot,3
retail,2
dancing_school,2
warehouse,2
register_office,2
office,2
satellite_dish,2
grave_yard,2
taller,2
lavoir,2
cooking_school,2
toy_library,2
letter_box,2
outdoor_fitness,1
café,1
vivero,1
Taller,1
car_sharing,1
yes,1
sop,1
cafeteria_especial,1
register,1
bicycle_repair_station,1
student_accommodation,1
bakery,1
vacant,1
bank;bar,1
culture_center,1
hookah_lounge,1
greengrocer,1
archive,1
dormitory,1
lounge,1
ticket_validator,1
trolley_bay,1
dressing_room,1
animal_breeding,1
music_schhol,1
research_institute,1
veterinary_pharmacy,1
loading_dock,1
arts_school,1
crematorium,1
conference_centre,1
public_bath,1
home_appliances_repair,1
fixme,1
coffee,1
boat_rental,1
mobile_money_agent,1
scooter_parking,1
