Amenity,N de apariciones
Restaurant,3939
Bench,3630
Drinking_water,1865
Pharmacy,1817
Bicycle_parking,1349
Bar,1275
Bank,1121
Cafe,993
Parking_entrance,993
Motorcycle_parking,860
Pub,790
Recycling,751
Fast_food,685
Waste_basket,671
Vending_machine,533
Kindergarten,458
Taxi,447
Waste_disposal,400
Post_box,374
Parking,355
School,341
Atm,285
Dentist,278
Fountain,232
Place_of_worship,213
Bicycle_rental,191
Clinic,180
Toilets,168
Fuel,137
Nightclub,122
Telephone,118
Veterinary,116
Post_office,113
Driving_school,108
Theatre,76
Doctors,73
College,69
Charging_station,66
Social_facility,64
Ice_cream,59
Library,50
Language_school,49
Community_centre,40
Training,36
Cinema,36
Nursing_home,34
Internet_cafe,32
Car_wash,31
Shower,30
Bureau_de_change,29
University,28
Arts_centre,28
Car_rental,26
Marketplace,24
Casino,22
Clock,20
Gambling,19
Music_venue,17
Police,17
Money_transfer,16
Music_school,14
Biergarten,14
Compressed_air,13
Coworking_space,12
Food_court,12
Social_centre,12
Hospital,11
Photo_booth,9
Parking_space,9
Prep_school,9
Studio,7
Courthouse,7
Childcare,7
Bus_station,5
Water_point,5
Dojo,5
Vacuum_cleaner,5
Public_bookcase,4
Brothel,4
Spa,3
Townhall,3
Parcel_locker,3
Events_venue,2
Reception_desk,2
Cooking_school,2
Shelter,2
Post_depot,2
Retail,2
Satellite_dish,2
Grave_yard,2
Stripclub,2
Hookah_lounge,1
Vehicle_inspection,1
Archive,1
Dormitory,1
Lounge,1
Ticket_validator,1
Waste_transfer_station,1
Research_institute,1
Veterinary_pharmacy,1
Arts_school,1
Public_bath,1
Home_appliances_repair,1
Fixme,1
Coffee,1
Boat_rental,1
Fire_station,1
Mobile_money_agent,1
Dancing_school,1
Sop,1
Register_office,1
Bicycle_repair_station,1
Student_accommodation,1
Watering_place,1
Vacant,1
Culture_center,1
