Amenity,N de apariciones
bench,9796
bicycle_parking,8265
restaurant,7882
waste_basket,3487
fast_food,2286
motorcycle_parking,2102
cafe,2035
parking_space,1801
post_box,1300
recycling,1295
vending_machine,1279
bar,1200
bicycle_rental,1024
bank,929
pharmacy,916
drinking_water,888
toilets,642
school,615
atm,514
parking_entrance,502
pub,366
doctors,267
social_facility,264
parking,228
post_office,227
clock,210
taxi,205
college,205
theatre,201
charging_station,195
fountain,172
dentist,167
kindergarten,165
childcare,144
driving_school,127
ticket_validator,108
community_centre,103
place_of_worship,95
library,94
car_rental,89
veterinary,82
fuel,81
ice_cream,79
photo_booth,77
arts_centre,75
nightclub,72
cinema,72
marketplace,70
bureau_de_change,64
clinic,52
public_bookcase,47
studio,41
police,40
money_transfer,40
water_point,34
parcel_locker,32
bicycle_repair_station,32
music_school,31
coworking_space,29
university,28
car_sharing,25
lounger,25
shelter,22
compressed_air,22
reception_desk,21
waste_disposal,21
social_centre,19
hookah_lounge,19
dojo,19
events_venue,19
training,16
hospital,16
polling_station,16
language_school,14
conference_centre,13
internet_cafe,13
table,13
piano,13
ferry_terminal,13
scooter_parking,13
shower,10
heater,10
grit_bin,10
car_wash,9
toy_library,7
stripclub,7
prep_school,7
smoking_area,7
courthouse,6
vehicle_inspection,6
vending_machine;waste_basket,6
swingerclub,6
letter_box,5
food_court,5
kick_scooter_parking,5
printer,5
public_bath,4
luggage_locker,4
workshop,4
monastery,4
exhibition_centre,4
research_institute,4
cooking_school,3
nursery,3
hydrant,3
meeting_point,3
karaoke_box,3
healthcare,2
service_machine,2
personal_service,2
vacant,2
auction_house,2
bus_station,2
art_school,2
small_electric_vehicle_parking,2
dancing_school,2
wine_bar,2
was:restaurant,2
teahouse,2
shooting_stand,1
vehicle_impound,1
dark-kitchen,1
ngo,1
piano_lessons,1
shisha,1
community_centre;toy_library,1
audiologist,1
restaurant;bar;nightclub,1
internet_access,1
casino,1
public_building,1
construction,1
radiologist,1
social_club,1
give_box,1
reuse,1
perfumery,1
dark_kitchen,1
beauty,1
student_accommodation,1
employment_agency,1
restaurant;deli,1
cafe;coworking_space,1
ashtray,1
training_center,1
mortuary,1
baggage_checkin,1
events_centre,1
device_charging_station,1
watering_place,1
car_pooling,1
Physical training Center,1
tool_rental,1
shop,1
love_hotel,1
post_depot,1
art,1
motorcycle_rental,1
planetarium,1
flight_school,1
yoga_studio,1
disused,1
mode,1
restaurant;theatre,1
public_office,1
podologist,1
lift,1
was:bar,1
nurse,1
kinesiotherapy,1
orthopedic,1
gambling,1
couture,1
bbq,1
