Amenity,N de apariciones
Place,54086
Bench,9805
Bicycle_parking,8281
Restaurant,7886
Waste_basket,3503
Fast_food,2292
Motorcycle_parking,2108
Cafe,2032
Parking_space,1801
Post_box,1299
Recycling,1295
Vending_machine,1285
Bar,1201
Bicycle_rental,1024
Bank,928
Pharmacy,916
Drinking_water,887
Toilets,640
School,615
Atm,514
Parking_entrance,502
Pub,366
Doctors,267
Social_facility,264
Parking,228
Post_office,227
Clock,210
Taxi,205
College,205
Theatre,202
Charging_station,196
Fountain,172
Dentist,168
Kindergarten,165
Childcare,144
Driving_school,127
Ticket_validator,108
Community_centre,104
Place_of_worship,95
Library,94
Car_rental,89
Veterinary,83
Fuel,81
Ice_cream,79
Photo_booth,77
Arts_centre,75
Nightclub,73
Cinema,72
Marketplace,70
Bureau_de_change,64
Clinic,52
Public_bookcase,47
Studio,41
Police,40
Money_transfer,40
Water_point,34
Bicycle_repair_station,32
Parcel_locker,32
Music_school,31
Coworking_space,30
Car_sharing,25
Lounger,25
University,24
Shelter,22
Waste_disposal,22
Compressed_air,22
Reception_desk,21
Dojo,19
Social_centre,19
Hookah_lounge,19
Events_venue,19
Hospital,16
Training,16
Polling_station,16
Language_school,15
Ferry_terminal,13
Conference_centre,13
Internet_cafe,13
Table,13
Piano,13
Scooter_parking,13
Shower,10
Heater,10
Grit_bin,10
Car_wash,9
Toy_library,8
Stripclub,7
Prep_school,7
Smoking_area,7
Swingerclub,6
Courthouse,6
Vehicle_inspection,6
Letter_box,5
Food_court,5
Kick_scooter_parking,5
Printer,5
Luggage_locker,4
Public_bath,4
Workshop,4
Monastery,4
Exhibition_centre,4
Research_institute,4
Nursery,3
Was,3
Cooking_school,3
Hydrant,3
Meeting_point,3
Karaoke_box,3
Wine_bar,2
Vacant,2
Teahouse,2
Healthcare,2
Service_machine,2
Dark_kitchen,2
Personal_service,2
Auction_house,2
Bus_station,2
Art_school,2
Small_electric_vehicle_parking,2
Dancing_school,2
Yoga_studio,1
Disused,1
Mode,1
Public_office,1
Podologist,1
Lift,1
Nurse,1
Kinesiotherapy,1
Orthopedic,1
Gambling,1
Couture,1
Bbq,1
Shooting_stand,1
Vehicle_impound,1
Ngo,1
Piano_lessons,1
Shisha,1
Audiologist,1
Internet_access,1
Casino,1
Public_building,1
Construction,1
Radiologist,1
Social_club,1
Give_box,1
Reuse,1
Perfumery,1
Beauty,1
Student_accommodation,1
Employment_agency,1
Deli,1
Ashtray,1
Training_center,1
Mortuary,1
Baggage_checkin,1
Events_centre,1
Device_charging_station,1
Watering_place,1
Car_pooling,1
Physicaltrainingcenter,1
Tool_rental,1
Shop,1
Love_hotel,1
Post_depot,1
Art,1
Motorcycle_rental,1
Planetarium,1
Flight_school,1
